-1.94477883	-1.94938416	48.81122015
-0.94477883	-1.94938416	48.80073396
0.05522117	-1.94938416	48.79796505
1.05522117	-1.94938416	48.80170142
2.05522117	-1.94938416	48.81632196
3.05522117	-1.94938416	48.82089146
4.05522117	-1.94938416	48.84089298
5.05522117	-1.94938416	48.86994336
6.05522117	-1.94938416	48.90058115
7.05522117	-1.94938416	48.93640198
8.05522117	-1.94938416	48.98743057
9.05522117	-1.94938416	48.95750361
10.05522117	-1.94938416	48.96782208
-1.94477883	-0.94938416	48.78443740
-0.94477883	-0.94938416	48.78824257
0.05522117	-0.94938416	48.79929675
1.05522117	-0.94938416	48.82408988
2.05522117	-0.94938416	48.84055689
3.05522117	-0.94938416	48.86717345
4.05522117	-0.94938416	48.88554604
5.05522117	-0.94938416	48.88652975
6.05522117	-0.94938416	48.91450143
7.05522117	-0.94938416	48.92293810
8.05522117	-0.94938416	48.98743057
9.05522117	-0.94938416	48.96973578
10.05522117	-0.94938416	48.96515620
-1.94477883	0.05061584	48.78715849
-0.94477883	0.05061584	48.79003495
0.05522117	0.05061584	48.78226942
1.05522117	0.05061584	48.80090782
2.05522117	0.05061584	48.80942150
3.05522117	0.05061584	48.82791918
4.05522117	0.05061584	48.85270702
5.05522117	0.05061584	48.88323687
6.05522117	0.05061584	48.92094296
7.05522117	0.05061584	48.93230171
8.05522117	0.05061584	48.96229552
9.05522117	0.05061584	48.93566326
10.05522117	0.05061584	48.96838801
-1.94477883	1.05061584	48.77127036
-0.94477883	1.05061584	48.78141983
0.05522117	1.05061584	48.78427029
1.05522117	1.05061584	48.80382047
2.05522117	1.05061584	48.81300203
3.05522117	1.05061584	48.84911090
4.05522117	1.05061584	48.86520263
5.05522117	1.05061584	48.87517479
6.05522117	1.05061584	48.89397412
7.05522117	1.05061584	48.90034814
8.05522117	1.05061584	48.91833332
9.05522117	1.05061584	48.92568186
10.05522117	1.05061584	48.91887134
-1.94477883	2.05061584	48.64761246
-0.94477883	2.05061584	48.65945994
0.05522117	2.05061584	48.66056595
1.05522117	2.05061584	48.71700694
2.05522117	2.05061584	48.74320633
3.05522117	2.05061584	48.77851247
4.05522117	2.05061584	48.80709892
5.05522117	2.05061584	48.82794434
6.05522117	2.05061584	48.80548000
7.05522117	2.05061584	48.98743057
8.05522117	2.05061584	48.98743057
9.05522117	2.05061584	48.89445422
10.05522117	2.05061584	48.94037840
-1.94477883	3.05061584	48.64589234
-0.94477883	3.05061584	48.67120049
0.05522117	3.05061584	48.67060631
1.05522117	3.05061584	48.67924883
2.05522117	3.05061584	48.70073536
3.05522117	3.05061584	48.72084025
4.05522117	3.05061584	48.77038932
5.05522117	3.05061584	48.81095225
6.05522117	3.05061584	48.85236343
7.05522117	3.05061584	48.87132112
8.05522117	3.05061584	48.89202429
9.05522117	3.05061584	48.90115860
10.05522117	3.05061584	48.91870362
-1.94477883	4.05061584	48.61520127
-0.94477883	4.05061584	48.64064620
0.05522117	4.05061584	48.65380593
1.05522117	4.05061584	48.68986378
